,Timestamp,Full Name,Gender,Age,Use Phone for Class Notes,Buy/Access Books from Phone,Phone's Battery Lasts a Day,Run for Charger When Battery Dies,Worry About Losing Cell Phone,Take Phone to Bathroom,Use Phone in Social Gatherings,Check Phone Without Notification,Check Phone Before Sleep/After Waking Up,Keep Phone Next to While Sleeping,Check Emails/Calls/Texts During Class,Rely on Phone in Awkward Situations,On Phone While Watching TV/Eating,Panic Attack if Phone Left Elsewhere,Use Phone on Date,Phone Use for Playing Games,Live a Day Without Phone,Addicted to Phone,Target
40,2023-10-03 10:17:26.108620,Jane Smith,Male,26,Yes,No,Yes,Yes,Yes,Yes,No,Rarely,Yes,No,Yes,Yes,No,No,No,2 hours,Yes,Yes, NOT Adicted
41,2023-01-21 10:17:26.108620,Jane Smith,Female,65,No,No,Yes,No,Yes,No,Yes,Rarely,No,No,Yes,Yes,Yes,No,Yes,2 hours,No,Yes,Maybe addicted
42,2023-06-28 10:17:26.108620,Emily Martinez,Male,37,Yes,No,Yes,Yes,No,Yes,No,Often,Yes,Yes,Yes,Yes,Yes,No,Yes,0 hours,No,No,Adicted
43,2023-09-02 10:17:26.108620,Maria Garcia,Female,27,No,No,Yes,No,No,No,Yes,Never,No,No,Yes,Yes,No,No,Yes,0 hours,Yes,Yes,Adicted
44,2023-07-06 10:17:26.108620,Jane Smith,Male,33,Yes,Yes,Yes,Yes,No,Yes,No,Sometimes,Yes,No,No,No,Yes,Yes,No,0 hours,No,No, NOT Adicted
45,2023-10-05 10:17:26.108620,Maria Garcia,Male,50,No,Yes,No,No,No,No,No,Often,No,No,No,Yes,No,Yes,No,3 hours,Yes,No,Maybe addicted
46,2023-04-12 10:17:26.108620,John Doe,Male,35,Yes,No,No,Yes,No,No,No,Sometimes,Yes,No,Yes,No,Yes,Yes,No,5 hours,Yes,Yes, NOT Adicted
47,2023-10-03 10:17:26.108620,Alex Johnson,Female,36,No,No,No,No,No,Yes,Yes,Sometimes,Yes,No,Yes,No,Yes,No,No,5 hours,Yes,Yes, NOT Adicted
48,2023-05-18 10:17:26.108620,Alex Johnson,Male,51,Yes,Yes,Yes,Yes,No,No,No,Rarely,No,Yes,No,No,No,No,No,1 hours,No,Yes,Adicted
49,2023-04-04 10:17:26.108620,Jane Smith,Female,41,No,Yes,No,Yes,Yes,No,Yes,Sometimes,No,No,Yes,Yes,Yes,No,Yes,3 hours,Yes,No,Adicted
50,2022-12-21 10:17:26.108620,Maria Garcia,Male,30,Yes,No,Yes,No,No,No,No,Never,No,No,Yes,No,Yes,No,Yes,2 hours,Yes,No,Maybe addicted
51,2023-05-12 10:17:26.108620,Emily Martinez,Female,62,Yes,No,No,Yes,No,No,Yes,Never,No,Yes,Yes,Yes,No,No,Yes,0 hours,Yes,Yes, NOT Adicted
52,2023-03-20 10:17:26.108620,Maria Garcia,Male,38,Yes,No,No,Yes,No,No,Yes,Sometimes,No,No,Yes,Yes,Yes,Yes,No,5 hours,Yes,Yes, NOT Adicted
53,2023-01-02 10:17:26.108620,Emily Martinez,Female,29,No,Yes,Yes,Yes,No,Yes,No,Rarely,No,No,No,Yes,No,Yes,Yes,5 hours,Yes,Yes,Maybe addicted
54,2023-11-15 10:17:26.108620,Jane Smith,Female,57,Yes,No,Yes,No,Yes,No,Yes,Often,No,Yes,Yes,Yes,No,No,No,2 hours,No,No, NOT Adicted
55,2023-10-22 10:17:26.108620,Jane Smith,Female,19,Yes,Yes,Yes,No,Yes,Yes,No,Often,No,No,Yes,Yes,No,Yes,No,0 hours,No,No, NOT Adicted
56,2023-02-07 10:17:26.108620,Alex Johnson,Female,54,No,No,Yes,Yes,No,No,Yes,Never,Yes,No,Yes,Yes,Yes,No,Yes,1 hours,No,Yes,Maybe addicted
57,2023-05-02 10:17:26.108620,James Lee,Female,48,Yes,Yes,No,No,Yes,Yes,Yes,Rarely,No,Yes,No,Yes,Yes,No,Yes,0 hours,No,No,Adicted
58,2023-03-16 10:17:26.108620,Emily Martinez,Male,28,Yes,Yes,Yes,No,Yes,No,No,Often,Yes,Yes,No,No,Yes,Yes,No,1 hours,Yes,No,Maybe addicted
59,2023-06-18 10:17:26.108620,James Lee,Male,42,Yes,Yes,Yes,No,Yes,Yes,Yes,Often,No,Yes,Yes,Yes,Yes,Yes,Yes,5 hours,No,Yes,Maybe addicted
60,2023-05-12 10:17:26.108620,James Lee,Female,63,Yes,Yes,No,Yes,No,Yes,Yes,Never,No,Yes,No,No,Yes,No,No,1 hours,No,Yes, NOT Adicted
61,2023-04-19 10:17:26.108620,Maria Garcia,Male,34,No,No,Yes,No,Yes,No,Yes,Rarely,No,Yes,Yes,Yes,No,Yes,No,5 hours,No,No,Adicted
62,2022-12-21 10:17:26.108620,Maria Garcia,Female,28,Yes,No,No,No,Yes,No,Yes,Rarely,No,Yes,No,No,Yes,Yes,No,1 hours,No,No,Maybe addicted
63,2023-01-31 10:17:26.108620,John Doe,Female,53,No,Yes,No,No,No,Yes,No,Sometimes,Yes,Yes,No,Yes,Yes,No,No,3 hours,Yes,Yes,Maybe addicted
64,2023-03-18 10:17:26.108620,Emily Martinez,Male,28,Yes,Yes,Yes,Yes,Yes,Yes,No,Rarely,No,No,Yes,No,No,Yes,No,5 hours,No,Yes,Maybe addicted
65,2023-03-12 10:17:26.108620,Alex Johnson,Male,42,No,No,No,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,No,Yes,3 hours,Yes,Yes,Adicted
66,2023-10-23 10:17:26.108620,Alex Johnson,Female,38,Yes,No,No,No,No,Yes,Yes,Often,Yes,Yes,Yes,No,Yes,No,No,2 hours,Yes,Yes,Maybe addicted
67,2023-09-25 10:17:26.108620,Maria Garcia,Male,42,Yes,No,No,Yes,No,Yes,No,Often,No,No,No,No,No,Yes,Yes,4 hours,No,Yes,Maybe addicted
68,2023-02-13 10:17:26.108620,Jane Smith,Female,22,Yes,No,No,No,Yes,No,No,Sometimes,Yes,No,Yes,No,Yes,Yes,Yes,5 hours,Yes,Yes,Adicted
69,2023-12-05 10:17:26.108620,Maria Garcia,Female,63,Yes,No,No,No,Yes,Yes,Yes,Sometimes,No,No,No,Yes,Yes,No,No,4 hours,No,Yes,Adicted
70,2023-07-18 10:17:26.108620,James Lee,Female,32,No,No,Yes,Yes,No,Yes,No,Rarely,No,No,Yes,Yes,No,No,No,1 hours,No,No,Maybe addicted
71,2023-08-01 10:17:26.108620,Alex Johnson,Female,63,No,Yes,No,No,Yes,No,Yes,Rarely,Yes,Yes,No,No,Yes,Yes,No,3 hours,No,No, NOT Adicted
72,2023-02-08 10:17:26.108620,Jane Smith,Female,50,No,No,Yes,No,Yes,Yes,No,Rarely,No,Yes,No,Yes,Yes,No,Yes,2 hours,Yes,No,Adicted
73,2023-10-25 10:17:26.108620,Jane Smith,Female,19,Yes,Yes,Yes,No,Yes,Yes,Yes,Sometimes,Yes,No,Yes,Yes,No,Yes,Yes,1 hours,Yes,No,Maybe addicted
74,2023-04-22 10:17:26.108620,John Doe,Female,31,No,Yes,No,Yes,No,No,No,Never,Yes,Yes,No,Yes,Yes,No,Yes,5 hours,Yes,Yes,Maybe addicted
75,2023-09-06 10:17:26.108620,James Lee,Female,30,No,Yes,Yes,No,Yes,No,No,Sometimes,No,No,Yes,No,No,No,Yes,4 hours,No,Yes,Maybe addicted
76,2023-08-16 10:17:26.108620,Alex Johnson,Female,44,Yes,No,Yes,No,No,Yes,No,Sometimes,No,No,No,Yes,Yes,No,No,2 hours,No,Yes, NOT Adicted
77,2023-01-05 10:17:26.108620,John Doe,Male,37,Yes,Yes,Yes,No,Yes,No,Yes,Never,No,Yes,No,No,Yes,Yes,No,0 hours,No,Yes, NOT Adicted
78,2023-07-07 10:17:26.108620,Jane Smith,Female,27,No,Yes,No,Yes,Yes,No,No,Sometimes,Yes,Yes,Yes,Yes,Yes,No,Yes,5 hours,Yes,No, NOT Adicted
79,2023-01-31 10:17:26.108620,Alex Johnson,Female,49,Yes,Yes,No,No,No,No,No,Rarely,No,Yes,Yes,Yes,Yes,Yes,No,3 hours,Yes,No, NOT Adicted
80,2023-11-28 10:17:26.108620,John Doe,Female,31,Yes,No,No,Yes,Yes,Yes,No,Rarely,No,Yes,Yes,No,Yes,Yes,No,4 hours,No,No,Adicted
81,2023-12-10 10:17:26.108620,Jane Smith,Male,55,No,Yes,No,No,Yes,No,No,Sometimes,No,No,No,Yes,No,Yes,Yes,1 hours,No,No,Adicted
82,2023-03-27 10:17:26.108620,Maria Garcia,Female,38,No,Yes,Yes,No,Yes,Yes,Yes,Often,No,Yes,Yes,No,No,No,Yes,2 hours,No,No, NOT Adicted
83,2023-01-29 10:17:26.108620,Jane Smith,Male,39,Yes,Yes,No,Yes,No,No,Yes,Rarely,Yes,No,Yes,No,Yes,Yes,Yes,3 hours,Yes,Yes,Maybe addicted
84,2023-11-02 10:17:26.108620,James Lee,Male,29,Yes,No,Yes,No,No,Yes,No,Rarely,Yes,Yes,No,No,Yes,No,Yes,0 hours,No,No, NOT Adicted
85,2023-07-09 10:17:26.108620,John Doe,Male,57,Yes,No,Yes,Yes,No,Yes,No,Never,Yes,No,No,Yes,Yes,No,No,1 hours,No,Yes, NOT Adicted
86,2023-05-12 10:17:26.108620,Emily Martinez,Female,20,Yes,Yes,No,Yes,No,No,No,Often,Yes,Yes,No,Yes,No,No,No,4 hours,Yes,No,Maybe addicted
87,2023-03-24 10:17:26.108620,Maria Garcia,Female,63,Yes,No,No,Yes,Yes,Yes,No,Never,Yes,Yes,Yes,No,Yes,Yes,Yes,3 hours,Yes,No, NOT Adicted
88,2023-05-24 10:17:26.108620,John Doe,Male,49,No,No,No,No,No,Yes,Yes,Rarely,Yes,Yes,Yes,Yes,No,Yes,Yes,4 hours,No,Yes,Adicted
89,2023-08-24 10:17:26.108620,Emily Martinez,Female,63,Yes,Yes,Yes,Yes,Yes,No,Yes,Never,Yes,Yes,No,Yes,No,No,Yes,3 hours,No,Yes,Adicted
90,2023-11-07 10:17:26.108620,James Lee,Male,23,Yes,Yes,No,No,No,No,No,Never,No,Yes,Yes,Yes,Yes,Yes,Yes,4 hours,Yes,No,Adicted
91,2023-05-05 10:17:26.108620,Emily Martinez,Male,56,No,Yes,Yes,No,No,No,No,Rarely,Yes,Yes,No,Yes,No,No,No,2 hours,No,Yes,Maybe addicted
92,2023-07-23 10:17:26.108620,Emily Martinez,Female,40,No,No,No,No,Yes,Yes,No,Sometimes,No,Yes,Yes,No,No,No,No,2 hours,No,Yes, NOT Adicted
93,2023-09-13 10:17:26.108620,Alex Johnson,Female,62,Yes,Yes,Yes,Yes,No,Yes,Yes,Sometimes,Yes,No,No,Yes,Yes,Yes,Yes,2 hours,Yes,No,Maybe addicted
94,2023-06-19 10:17:26.108620,Alex Johnson,Male,55,No,Yes,Yes,Yes,Yes,No,No,Sometimes,No,Yes,No,Yes,Yes,No,Yes,4 hours,No,Yes,Adicted
95,2023-11-24 10:17:26.108620,Maria Garcia,Male,59,Yes,Yes,No,No,No,Yes,Yes,Rarely,Yes,No,No,No,No,No,No,5 hours,Yes,No,Adicted
96,2023-10-27 10:17:26.108620,James Lee,Female,53,No,No,No,Yes,No,Yes,Yes,Often,Yes,No,No,Yes,No,No,No,0 hours,No,Yes,Adicted
97,2023-12-01 10:17:26.108620,James Lee,Male,26,Yes,No,No,No,Yes,No,Yes,Often,No,Yes,Yes,Yes,No,Yes,Yes,4 hours,No,Yes, NOT Adicted
98,2022-12-26 10:17:26.108620,Alex Johnson,Female,43,Yes,No,Yes,Yes,Yes,Yes,Yes,Never,No,No,No,Yes,No,Yes,Yes,4 hours,Yes,Yes, NOT Adicted
99,2023-07-29 10:17:26.108620,Jane Smith,Male,50,Yes,Yes,No,Yes,No,Yes,No,Often,Yes,No,Yes,No,No,No,No,3 hours,Yes,Yes,Maybe addicted
100,2023-05-11 10:17:26.108620,Maria Garcia,Female,52,No,No,Yes,Yes,Yes,No,No,Sometimes,Yes,Yes,Yes,Yes,No,Yes,Yes,4 hours,No,No,Maybe addicted
101,2023-01-15 10:17:26.108620,Emily Martinez,Female,43,No,No,No,Yes,Yes,No,No,Rarely,Yes,Yes,Yes,No,Yes,No,No,4 hours,Yes,Yes, NOT Adicted
102,2023-04-06 10:17:26.108620,John Doe,Male,54,No,Yes,No,Yes,No,No,No,Never,No,Yes,Yes,No,No,Yes,Yes,5 hours,No,Yes,Maybe addicted
103,2022-12-30 10:17:26.108620,Alex Johnson,Female,31,Yes,No,Yes,No,No,No,No,Sometimes,No,No,Yes,No,No,No,Yes,1 hours,No,Yes, NOT Adicted
104,2023-02-24 10:17:26.108620,Alex Johnson,Female,33,No,Yes,No,Yes,Yes,No,Yes,Often,No,No,Yes,Yes,No,Yes,Yes,4 hours,No,Yes,Maybe addicted
105,2023-06-05 10:17:26.108620,Alex Johnson,Male,40,No,No,Yes,Yes,Yes,Yes,Yes,Never,Yes,No,No,No,No,No,No,0 hours,Yes,Yes,Maybe addicted
106,2023-10-01 10:17:26.108620,Alex Johnson,Female,37,No,No,No,Yes,Yes,Yes,Yes,Often,No,Yes,Yes,Yes,Yes,Yes,No,0 hours,No,Yes, NOT Adicted
107,2023-02-12 10:17:26.108620,James Lee,Male,35,No,Yes,Yes,Yes,Yes,Yes,Yes,Rarely,No,No,Yes,No,Yes,Yes,Yes,5 hours,No,Yes,Adicted
108,2023-02-23 10:17:26.108620,John Doe,Female,52,No,Yes,No,Yes,No,Yes,Yes,Sometimes,Yes,Yes,No,Yes,Yes,No,Yes,4 hours,No,Yes, NOT Adicted
109,2023-09-23 10:17:26.108620,Maria Garcia,Female,60,No,Yes,No,Yes,Yes,No,No,Rarely,No,No,Yes,No,No,Yes,Yes,3 hours,Yes,Yes, NOT Adicted
110,2023-10-12 10:17:26.108620,Emily Martinez,Female,27,No,No,Yes,Yes,Yes,No,No,Rarely,No,Yes,No,No,No,Yes,Yes,5 hours,Yes,No, NOT Adicted
111,2023-05-08 10:17:26.108620,James Lee,Female,31,No,Yes,No,Yes,Yes,No,Yes,Never,Yes,Yes,Yes,Yes,Yes,Yes,No,3 hours,Yes,Yes, NOT Adicted
112,2023-09-11 10:17:26.108620,Jane Smith,Female,23,Yes,Yes,Yes,Yes,No,No,No,Never,Yes,No,No,Yes,Yes,Yes,No,1 hours,Yes,Yes,Adicted
113,2023-08-22 10:17:26.108620,Maria Garcia,Female,23,No,No,No,No,No,Yes,Yes,Never,No,Yes,Yes,Yes,No,Yes,Yes,3 hours,No,Yes, NOT Adicted
114,2023-01-31 10:17:26.108620,Alex Johnson,Male,25,No,No,Yes,No,Yes,Yes,No,Never,No,No,Yes,Yes,No,Yes,No,5 hours,Yes,Yes, NOT Adicted
115,2023-04-15 10:17:26.108620,Alex Johnson,Male,55,Yes,No,No,Yes,Yes,Yes,Yes,Never,No,Yes,Yes,No,No,Yes,No,5 hours,Yes,Yes,Maybe addicted
116,2023-08-18 10:17:26.108620,James Lee,Male,19,Yes,No,No,No,No,Yes,Yes,Often,Yes,No,Yes,Yes,Yes,Yes,Yes,5 hours,Yes,Yes,Adicted
117,2023-10-28 10:17:26.108620,Alex Johnson,Male,35,No,No,No,Yes,Yes,Yes,No,Often,No,No,No,No,No,Yes,No,5 hours,Yes,Yes,Adicted
118,2023-02-21 10:17:26.108620,Emily Martinez,Male,33,Yes,No,No,Yes,No,No,Yes,Rarely,No,Yes,No,Yes,No,No,Yes,5 hours,No,No,Adicted
119,2023-06-16 10:17:26.108620,Jane Smith,Female,19,No,No,Yes,No,No,No,Yes,Sometimes,Yes,No,Yes,No,No,Yes,No,3 hours,No,No,Adicted
120,2023-02-13 10:17:26.108620,Maria Garcia,Female,29,Yes,Yes,No,No,Yes,Yes,No,Rarely,No,Yes,No,No,Yes,Yes,Yes,2 hours,No,No,Adicted
121,2023-01-04 10:17:26.108620,Alex Johnson,Female,45,No,No,Yes,Yes,No,Yes,Yes,Often,No,No,Yes,No,Yes,No,Yes,5 hours,No,Yes,Maybe addicted
122,2023-08-01 10:17:26.108620,James Lee,Male,53,No,Yes,Yes,Yes,Yes,No,No,Never,Yes,Yes,No,No,No,Yes,No,3 hours,Yes,Yes,Adicted
123,2023-10-28 10:17:26.108620,Alex Johnson,Male,37,Yes,No,Yes,Yes,No,Yes,Yes,Often,Yes,No,Yes,Yes,No,No,Yes,3 hours,Yes,No,Adicted
124,2023-10-20 10:17:26.108620,John Doe,Female,23,No,Yes,No,No,Yes,No,No,Sometimes,No,Yes,No,Yes,No,No,No,3 hours,No,No,Maybe addicted
125,2023-08-04 10:17:26.108620,Jane Smith,Male,32,No,No,Yes,No,No,No,Yes,Often,Yes,No,Yes,Yes,No,No,Yes,0 hours,No,No,Maybe addicted
126,2023-05-10 10:17:26.108620,Alex Johnson,Male,30,Yes,Yes,No,Yes,Yes,No,No,Sometimes,Yes,No,Yes,No,No,Yes,Yes,4 hours,No,No,Maybe addicted
127,2022-12-26 10:17:26.108620,James Lee,Female,22,Yes,Yes,No,No,No,No,Yes,Rarely,No,No,Yes,No,No,No,Yes,3 hours,No,No, NOT Adicted
128,2023-02-24 10:17:26.108620,Emily Martinez,Female,48,No,No,No,Yes,No,Yes,No,Never,No,No,Yes,Yes,No,Yes,No,0 hours,No,Yes,Adicted
129,2023-04-11 10:17:26.108620,John Doe,Male,29,Yes,Yes,Yes,Yes,No,No,Yes,Rarely,No,No,No,Yes,Yes,No,Yes,0 hours,Yes,No, NOT Adicted
130,2023-07-30 10:17:26.108620,Emily Martinez,Female,37,No,Yes,No,No,No,Yes,Yes,Rarely,Yes,No,No,Yes,No,Yes,No,0 hours,Yes,Yes,Maybe addicted
131,2023-12-18 10:17:26.108620,Alex Johnson,Female,21,Yes,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0 hours,No,No,Adicted
132,2023-10-24 10:17:26.108620,Maria Garcia,Female,50,Yes,Yes,Yes,No,No,Yes,Yes,Often,Yes,Yes,No,No,No,No,No,1 hours,Yes,Yes, NOT Adicted
133,2023-05-28 10:17:26.108620,Alex Johnson,Female,40,No,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Yes,Yes,No,No,Yes,No,No,1 hours,Yes,Yes, NOT Adicted
134,2023-06-25 10:17:26.108620,Emily Martinez,Female,30,Yes,No,Yes,No,No,Yes,Yes,Sometimes,No,No,Yes,No,No,No,Yes,5 hours,No,Yes,Maybe addicted
135,2023-12-04 10:17:26.108620,Maria Garcia,Female,28,No,Yes,No,Yes,No,No,Yes,Rarely,Yes,Yes,No,No,Yes,Yes,No,1 hours,Yes,No,Maybe addicted
136,2022-12-31 10:17:26.108620,Emily Martinez,Male,34,Yes,Yes,Yes,No,Yes,No,Yes,Sometimes,Yes,Yes,No,No,No,No,No,0 hours,Yes,No,Maybe addicted
137,2023-09-17 10:17:26.108620,Maria Garcia,Male,64,No,Yes,Yes,No,No,No,Yes,Sometimes,No,No,No,Yes,No,Yes,Yes,4 hours,Yes,No, NOT Adicted
138,2023-09-18 10:17:26.108620,John Doe,Male,34,Yes,No,No,No,No,No,No,Never,Yes,No,No,No,No,No,No,4 hours,Yes,No, NOT Adicted
139,2023-04-02 10:17:26.108620,James Lee,Male,45,No,No,Yes,Yes,No,Yes,No,Often,Yes,No,No,No,No,No,No,4 hours,Yes,Yes, NOT Adicted
140,2023-06-22 10:17:26.108620,Jane Smith,Female,45,Yes,Yes,Yes,Yes,No,Yes,No,Rarely,No,Yes,No,No,No,No,Yes,0 hours,No,No,Maybe addicted
141,2023-03-23 10:17:26.108620,Emily Martinez,Male,37,Yes,Yes,Yes,Yes,No,Yes,Yes,Often,No,No,Yes,Yes,Yes,No,Yes,4 hours,No,Yes,Maybe addicted
